"cpf_cnpj","municipio","nome"
"17469700000000","BELA VISTA DE MINAS","DIQUE D"
"17469700000000","BELA VISTA DE MINAS","Barragem E"
"17469700000000","BELA VISTA DE MINAS","Barragem B5"
"4800250000000","VILHENA","Barragem F"
"4800250000000","VILHENA","Barragem A"
"14572100000000","CALÇOENE","Barragem Samambaia 0 (Zero)"
"15141800000000","ANDORINHA","Barragem A0"
"33931500000000","CANAÃ DOS CARAJÁS","Barragem B1/B4"
"44140100000000","SÃO PAULO","5 (Mutuca)"
"***568360***","CUIABÁ","Dique Oeste"
"3405420000000","BRUMADINHO","Dique de Finos"
"16628300000000","MARIANA","Turmalina"
"19974500000000","BETIM","Barrragem do Vené"
"32870700000000","ITUTINGA","Barragem Paciência"
"32870700000000","ITUTINGA","Moita"
"6167730000000","JURUTI","BARRAGEM CASA DE PEDRA"
"42509300000000","JAGUARARI","BARRAGEM B4"
"42509300000000","JAGUARARI","DIQUE DO ESMERIL IV"
"546997000000","LAGAMAR","TP1"
"5857560000000","FERREIRA GOMES","TP2"
"33931500000000","OUVIDOR","DIQUE DE FINOS I"
"33592500000000","MARIANA","DIQUE DE FINOS II"
"33931500000000","PATROCÍNIO","Bacia de Rejeitos"
"68870400000000","IBIÚNA","CALCINADOS"
"***469372***","POCONÉ","0-1"
"53501600000000","POCONÉ","COCURUTO"
"***568360***","POCONÉ","CONTENÇÃO DE REJEITOS DE CDS II"
"16800200000000","ANTÔNIO DIAS","CONTENÇÃO DE REJEITOS DE CUIABÁ"
"42509300000000","JAGUARARI","81-1"
"42509300000000","JAGUARARI","158 (A-1)"
"34456000000000","ITAPUÃ DO OESTE","161 (A-2)"
"***096118***","POCONÉ","BARRAGEM DO VIGIA"
"33931500000000","ARAXÁ","BARRAGEM B2 AUXILIAR"
"34456000000000","ITAPUÃ DO OESTE","BARRAGEM B2"
"34456000000000","ITAPUÃ DO OESTE","CONTENÇÃO DE FINOS DE CDS I"
"34456000000000","ITAPUÃ DO OESTE","B4"
"***157070***","NOSSA SENHORA DO LIVRAMENTO","RAPAUNHA"
"42509300000000","JAGUARARI","BARRAGEM DE FINOS II"
"42509300000000","JAGUARARI","BARRAGEM DE REJEITOS DO MIRIM"
"42509300000000","JAGUARARI","Barragem Santa Rita"
"60628500000000","DESCALVADO","BARRAGEM DE CONTENÇÃO DE REJEITOS"
"33145300000000","NOSSA SENHORA DO LIVRAMENTO","Cava do Germano"
"17580700000000","NOVA SANTA HELENA","Barragem 01"
"83852100000000","URUSSANGA","BARRAGEM 02"
"***042255***","NOSSA SENHORA DO LIVRAMENTO","Barragem de Germano"
"33592500000000","CATAS ALTAS","444 (A-3)"
"33592500000000","CATAS ALTAS","Pau D'Arco"
"33592500000000","CATAS ALTAS","Nova Barragem de Santarém"
"23919600000000","RIO CRESPO","111 (Índio)"
"17756000000000","CURIONÓPOLIS","103 (Cruz)"
"42509300000000","JAGUARARI","Barragem B12"
"26729600000000","NOSSA SENHORA DO LIVRAMENTO","Bacia de Acumulação 01"
"5797880000000","JUÍNA","BARRAGEM 7"
"42509300000000","JAGUARARI","Barragem Aroeira"
"17181400000000","ALMAS","BACIA DE REJEITOS SÃO BENTO"
"***362762***","NOSSA SENHORA DO LIVRAMENTO","BARRAGEM DO BURACO"
"788904000000","CALÇOENE","POND 1 - BARRAGEM DE LIXIVIAÇÃO"
"27567100000000","JACAREACANGA","POND 2 - BARRAGEM DE FLOTAÇÃO"
"23082400000000","PORTO GRANDE","Cachoeirinha"
"23082400000000","PORTO GRANDE","Dique Lisa"
"23082400000000","PORTO GRANDE","POND 3 - BARRAGEM DE FLOTAÇÃO"
"23082400000000","PORTO GRANDE","Santa Bárbara"
"***041351***","POCONÉ","BARRAGEM DE CLARIFICAÇÃO"
"35055900000000","NOVA BANDEIRANTES","Barragem de Rejeitos"
"***003498***","NOSSA SENHORA DO LIVRAMENTO","B2"
"35055900000000","NOVA BANDEIRANTES","B4"
"9145190000000","ESMERALDAS","Califórnia"
"47354800000000","MOGI DAS CRUZES","Rancho Casca"
"2745440000000","TATUÍ","Barragem 02 - Canindé"
"2286820000000","BOFETE","Barragem 03 - Zé da Grota"
"***523386***","VÁRZEA GRANDE","Guará 3"
"592603000000","UBERABA","Dique de Contenção de Sedimentos 02"
"592603000000","UBERABA","Barragem Serra Azul"
"48256800000000","SÃO FÉLIX DO XINGU","EB-2"
"23300300000000","NOSSA SENHORA DO LIVRAMENTO","B5"
"18565400000000","SANTA BÁRBARA","BARRAGEM REJEITOS"
"48256800000000","PARAUAPEBAS","CASA DE PEDRA"
"44163000000000","NIQUELÂNDIA","Barragem de Rejeito Estrela 03"
"4932220000000","ORIXIMINÁ","Barragem EPP"
"4932220000000","ORIXIMINÁ","Barragem MRDM"
"322818000000","CAETITÉ","BARRAGEM DE REJEITOS PGDM"
"42593300000000","MAZAGÃO","OURO BRANCO OESTE"
"25252500000000","PONTES E LACERDA","Alemães"
"***062745***","NOSSA SENHORA DO LIVRAMENTO","North Mill Pond"
"92724100000000","MINAS DO LEÃO","TAP D"
"21228900000000","ITAPECERICA","Bacia 1 A"
"***071252***","POCONÉ","Bacia 1 B"
"21823100000000","PILAR DE GOIÁS","Bacia 2"
"***561629***","POCONÉ","Bacia 3"
"***108610***","POCONÉ","Bacia 5 A"
"23300300000000","NOSSA SENHORA DO LIVRAMENTO","Bacia 5 B"
"16565900000000","SABARÁ","Bacia 5 C"
"***352746***","NOSSA SENHORA DO LIVRAMENTO","Bacia 6 A"
"10228300000000","CORUMBÁ","Bacia de Segurança"
"53959300000000","CORUMBATAÍ","Bacia B 1"
"8692740000000","JURUENA","Bacia de Controle Ambiental"
"61322600000000","MOGI DAS CRUZES","Deposito de Rejeito R4"
"33193900000000","SERRA DO NAVIO","Capão da Serra"
"33193900000000","SERRA DO NAVIO","Horizontes"
"***827195***","POCONÉ","Vargem Grande"
"***777051***","NOSSA SENHORA DO LIVRAMENTO","B"
"11664300000000","NOSSA SENHORA DO LIVRAMENTO","III"
"***013194***","POCONÉ","Peneirinha"
"60727100000000","BRUMADINHO","Bacia de Finos da Mina do Recreio"
"33592500000000","NOVA LIMA","B1"
"11224700000000","SÃO TIAGO","B6"
"2359570000000","CONCEIÇÃO DO MATO DENTRO","BARRAGEM DO SOSSEGO"
"34020000000000","PRESIDENTE FIGUEIREDO","Barragem de Rejeitos do Córrego Baco Pari"
"34020000000000","PRESIDENTE FIGUEIREDO","Igarapé Mutum"
"34020000000000","PRESIDENTE FIGUEIREDO","Jacaré Inferior"
"34020000000000","PRESIDENTE FIGUEIREDO","Jacaré Medio"
"34020000000000","PRESIDENTE FIGUEIREDO","Jacaré Superior"
"34020000000000","PRESIDENTE FIGUEIREDO","Rio Santa Cruz"
"6167730000000","JURUTI","Unidade II"
"6167730000000","JURUTI","Unidade I"
"6167730000000","JURUTI","Unidade IIB"
"6167730000000","JURUTI","Gregório"
"16813500000000","ITATIAIUÇU","Planta"
"33931500000000","MARABÁ","Barragem Sul"
"33931500000000","MARABÁ","BARRAGEM USINA/CIP - LAGO 1 E 2"
"33931500000000","MARABÁ","BARRAGEM USINA/CIP - LAGO 3"
"33931500000000","MARABÁ","BARRAGEM USINA/CIP - LAGO 4"
"17469700000000","ITATIAIUÇU","Cava Camarinha"
"61322600000000","MOGI DAS CRUZES","Cava Pedrinhas"
"33592500000000","MARIANA","Barragem 01"
"33592500000000","OURO PRETO","BARRAGEM DO SABÃO I"
"33592500000000","SANTA BÁRBARA","Barragem 1"
"33592500000000","MARIANA","Barragem 2"
"33592500000000","MARIANA","Barragem 3"
"33592500000000","MARIANA","Miraí"
"8213820000000","ALMAS","Itamarati de Minas"
"33592500000000","NOVA LIMA","Dique S4"
"33592500000000","BRUMADINHO","Dique S3"
"33592500000000","BRUMADINHO","Barragem de Decantação de Água e Polpa - EBII - Mineroduto"
"33592500000000","BRUMADINHO","Barragem Eixo 1"
"***799923***","POCONÉ","Barragem B1 - Mina Ipê"
"33592500000000","SÃO GONÇALO DO RIO ABAIXO","Barragem B1-Auxiliar - Mina Tico-Tico"
"***799923***","POCONÉ","Barragem B2 - Mina Tico-Tico"
"33592500000000","PARAUAPEBAS","Barragem Mãe D'Água"
"33592500000000","NOVA LIMA","Água Fria"
"33592500000000","BELO VALE","Barragem B6"
"33592500000000","ITABIRITO","Bom Retiro 2"
"33592500000000","ITABIRITO","MBR II SUL"
"28277400000000","ITAITUBA","Dique de Contenção de Sedimentos 03"
"7605560000000","CURIONÓPOLIS","Maravilhas III"
"3121420000000","NOSSA SENHORA DO LIVRAMENTO","Barragem de Rejeito Estrela"
"5833750000000","SÃO TIAGO","Barragem de Rejeito Estrela 02"
"3564160000000","RIO BRANCO","BR SANTA 01"
"10302600000000","VILA BELA DA SANTÍSSIMA TRINDADE","Unidade IB"
"16628300000000","MARIANA","Barragem Torto"
"33592500000000","ITABIRA","ED Vale das Cobras"
"33592500000000","ITABIRA","ED Monjolo"
"16857500000000","OURO PRETO","Xingu"
"83163600000000","LAURO MÜLLER","Fortuna"
"83163600000000","LAURO MÜLLER","Bacia de Acumulação A"
"28917700000000","CAETÉ","Bacia de Acumulação B"
"28917700000000","CONCEIÇÃO DO PARÁ","BR SANTA FELICIDADE 03"
"83647800000000","CERRO AZUL","Barragem Lauro Muller - Bacia 4"
"33931500000000","ARAXÁ","Leste"
"33931500000000","TAPIRA","6"
"33931500000000","TAPIRA","7a"
"33931500000000","TAPIRA","Área IX"
"20346500000000","PARACATU","BARRAGEM SERROTE"
"33931500000000","IPIXUNA DO PARÁ","Neta"
"***869507***","NOSSA SENHORA DO LIVRAMENTO","Bacia 6B"
"5943920000000","ITAITUBA","BARRAGEM JVR"
"4932220000000","ORIXIMINÁ","Barragem de Rejeitos SB 02"
"4932220000000","ORIXIMINÁ","Barragem Quéias"
"4932220000000","ORIXIMINÁ","Bacia Grota da Onça"
"33059500000000","BUTIÁ","Barragem de Rejeitos - BAR"
"8902290000000","OURO PRETO","TQ 6301 A - POND 1 A"
"8902290000000","CONGONHAS","TQ 6301 B - POND 1 B"
"8902290000000","CONGONHAS","TQ 6302 - POND 2"
"14762200000000","NOSSA SENHORA DO LIVRAMENTO","TQ 6303 - POND 3"
"18501400000000","NOVA XAVANTINA","BR02"
"9259740000000","ARIQUEMES","Barragem do Vené II"
"19882200000000","NOVA LACERDA","Barragem Tocantinzinho"
"322818000000","CAETITÉ","Célula 01"
"15191800000000","MARACÁS","Dique 1010"
"322818000000","CAETITÉ","TQ 63102 - Bacia de Águas Pluviais"
